episode,rewards,loss,l2_grad,max_grad
529,42.19,-20.08,0.3343,4.9961
530,47.07,-15.22,0.3797,5.9102
531,19.54,780.27,2.2352,32.1089
532,-54.04,621.44,0.9910,13.7716
533,60.30,-14.44,0.2090,3.5600
534,-48.11,-1.22,0.2657,3.2842
535,-22.63,-12.73,0.1196,1.5742
536,52.90,476.35,0.6866,10.5105
537,51.96,642.59,0.8809,10.8935
538,-4.98,466.38,0.7516,10.7728
539,56.77,424.04,0.9912,16.4380
540,1.38,482.49,1.1930,15.3413
541,37.60,447.65,1.1222,16.2867
542,-53.36,-122.85,0.8918,13.5341
543,7.84,717.40,1.6306,20.4419
544,22.80,321.38,0.8016,13.6312
545,7.60,635.87,1.0465,12.2225
546,-42.13,389.09,1.9368,27.5654
547,8.99,207.41,0.5441,5.0962
548,62.92,105.87,0.4703,6.2861
549,-17.56,63.92,0.7437,13.1494
550,-8.40,-269.22,0.6508,8.4508
551,44.28,112.35,0.5686,7.1105
552,-114.93,-227.70,1.2972,22.3859
553,-55.08,7.28,1.2131,17.4541
554,23.64,61.50,1.1056,13.5163
555,-109.76,-287.37,1.1299,12.6954
556,-270.69,-83.38,0.5734,5.4886
557,-0.30,110.82,0.6639,8.0850
558,16.90,158.57,0.8760,8.4367
559,32.12,29.38,0.6993,9.6210
560,45.56,86.85,0.7584,11.2841
561,93.72,281.19,1.2848,18.3140
562,39.03,463.27,1.5055,26.1065
563,-0.07,-117.75,0.2805,3.4573
564,86.49,302.88,0.5835,6.6199
565,22.12,365.72,1.0266,17.3720
566,42.28,-126.96,0.4316,6.3827
567,-20.67,-142.46,0.4447,6.5878
568,-23.72,-139.17,0.3625,4.2040
569,14.37,-87.90,0.4350,4.7319
570,-22.66,-109.62,0.4905,5.5206
571,0.34,-156.45,0.4806,7.1596
572,-48.39,-65.89,0.2338,3.0078
573,54.88,-43.16,0.1727,2.0657
574,-99.32,-83.50,0.7357,9.1821
575,110.37,721.41,0.7905,8.8553
576,-43.65,-49.09,0.3219,4.1267
577,-60.90,-44.11,0.3766,5.7343
578,-13.70,-1.61,0.0737,1.4552
579,31.16,-25.93,0.3501,4.9742
580,36.62,-45.05,0.2323,2.7162
581,4.41,-32.26,0.3976,5.6359
582,-49.97,-16.55,0.4622,7.1737
583,8.41,2.65,0.2526,3.2814
584,-5.55,28.71,0.2354,3.1500
585,-4.70,21.29,0.2781,3.6940
586,44.25,1108.62,1.1385,15.3449
587,8.13,-4.49,0.4376,4.9395
588,24.11,6.47,0.2171,2.6718
589,16.74,-1.86,0.2675,3.7299
590,106.66,989.36,0.7775,7.4309
591,-39.19,0.67,0.2118,2.3076
592,39.73,-28.03,0.1617,1.7187
593,36.58,-7.05,0.2845,3.5253
594,-3.91,-18.37,0.2186,2.8493
595,-48.44,-15.21,0.1347,1.8174
596,-13.27,-15.47,0.2110,2.2940
597,115.23,909.31,1.7528,28.2358
598,-12.20,-17.81,0.2421,3.0454
599,-20.41,-50.23,0.1520,1.6104
600,9.41,-51.92,0.3057,4.6792
601,-15.47,-107.77,0.5274,7.2506
602,-9.19,-21.61,0.2443,3.3215
603,-1.00,-25.55,0.2234,2.8396
604,62.29,756.12,0.3563,4.1604
