episode,loss,rewards,adv
503,4.40,-58.37,10.7353
504,-10.32,-177.29,36.2742
505,1.18,-58.11,25.7506
506,-0.42,-68.19,33.5981
507,2.70,-17.37,56.5076
508,8.54,-41.02,33.2703
509,-8.10,-177.72,-5.6342
510,-12.09,-176.30,44.1911
511,-12.05,-247.94,-12.9296
512,3.16,15.70,73.7021
513,0.93,-72.94,18.1805
514,0.71,-134.52,-4.0343
515,-4.09,-341.52,51.9771
516,5.68,2.33,56.0187
517,9.16,49.87,58.3017
518,6.34,5.60,41.2228
519,4.51,-30.90,13.7232
520,2.69,-35.16,23.9761
521,1.19,-48.97,9.7421
522,0.03,-22.75,49.3402
523,2.61,-9.31,37.4810
524,1.12,-65.15,3.0520
525,1.10,-37.10,34.5387
526,4.87,-20.08,22.8532
527,0.53,-53.73,9.7784
528,8.83,3.74,21.8229
529,5.51,-16.37,20.9863
530,0.73,-53.58,20.3878
531,55.19,80.23,75.7302
532,5.63,-6.45,34.6730
533,-1.53,-101.15,-0.7699
534,3.19,-48.47,16.1624
535,2.03,1.89,51.5503
536,0.85,-5.44,52.8380
537,3.76,-12.68,28.0875
538,4.85,-12.19,27.0075
539,1.90,-31.41,23.0276
540,1.38,-23.73,25.3395
541,0.96,-16.84,40.5060
542,1.67,-18.55,33.8440
543,-2.61,-72.85,10.6119
544,1.11,-19.18,28.8394
545,-1.97,-71.01,3.1688
546,-0.03,-23.16,36.5971
547,1.41,-18.73,41.0296
548,1.91,-20.82,35.8942
549,-0.23,-44.39,20.8488
550,1.49,-15.39,33.9434
551,3.43,7.94,44.8884
552,-0.72,-69.81,17.1518
553,2.05,-10.93,32.5191
554,8.36,19.25,20.1053
555,5.93,-4.57,25.0550
556,-4.62,-92.08,11.5637
557,3.50,-12.73,31.6774
558,3.97,-0.43,34.9922
559,4.12,-8.88,25.5873
560,2.03,-13.28,35.3973
561,-1.26,-62.66,10.3319
562,3.29,9.49,40.5212
563,0.09,-38.67,22.6088
564,32.78,29.10,81.7103
565,-0.80,-33.88,40.9604
566,0.71,-62.85,15.0944
567,3.23,-13.82,23.4097
568,-2.65,-100.72,-4.8771
569,0.92,-84.93,-13.9681
570,-7.73,-149.32,-23.1052
571,2.81,-37.60,-0.9835
572,-13.17,-251.10,-37.8800
573,-15.52,-267.26,6.9334
574,-3.86,-93.28,4.1988
575,-14.82,-237.27,13.4579
576,-4.38,-129.94,-20.9300
577,-1.07,-69.56,25.5530
578,0.24,-14.93,51.3019
579,-6.81,-124.93,57.8660
580,-7.76,-165.78,-35.8620
581,7.56,35.69,40.3967
582,-0.25,-75.76,14.9285
583,-0.76,-13.24,56.1563
584,5.00,-10.17,17.4349
585,16.99,-98.74,46.2030
586,2.88,-20.35,30.9798
587,7.11,-3.50,25.1855
588,0.43,-42.35,26.7833
589,2.62,-12.70,28.3984
590,27.51,-54.82,64.7608
591,35.92,-13.90,36.7541
592,5.16,48.76,66.4075
593,5.72,-4.10,11.0759
594,3.18,1.61,44.9006
595,2.88,-20.47,20.2658
596,5.53,51.48,63.1998
597,-6.79,-123.30,24.8335
598,-2.95,-76.27,3.4894
599,1.76,6.91,43.7295
600,-2.88,-75.39,12.8409
601,3.41,-27.71,11.8606
602,-0.98,-92.36,-17.8279
603,-1.73,-63.06,19.2889
604,-4.42,-110.09,0.4490
605,37.86,177.48,77.1023
606,-6.65,-118.64,11.6723
607,-0.31,-79.70,-12.5717
608,1.11,-20.82,24.2539
609,-27.11,-359.14,-15.1118
610,1.29,-7.50,32.5020
611,-0.44,-75.41,-20.2602
612,-4.26,-125.26,-30.8157
613,-7.22,-135.05,15.5405
614,6.74,28.24,19.7876
615,-4.74,-119.82,-7.4168
616,-8.63,-141.80,4.8711
617,-2.22,-65.41,17.6539
618,-1.52,-61.41,8.0976
619,-7.76,-166.23,-18.2506
620,2.67,18.68,47.4409
621,-9.56,-182.80,0.5576
622,0.95,-40.24,-1.3400
623,-14.31,-215.62,19.6407
624,-0.46,-75.92,19.4546
625,3.36,-24.49,26.9015
626,-6.13,-122.19,28.2624
627,2.65,-4.06,49.4694
628,8.81,13.24,20.2351
629,2.58,2.44,37.1693
630,32.87,183.10,34.1725
631,3.40,-7.29,20.0816
632,3.29,8.18,36.8047
633,41.85,107.94,69.7553
634,3.50,26.91,49.5601
635,44.60,22.62,65.2737
636,7.25,-7.79,23.1157
637,4.68,15.49,35.2447
638,1.74,21.98,62.2015
639,41.66,62.77,39.1793
640,1.71,-27.12,25.3790
641,-0.65,-70.27,5.1702
642,1.97,-9.65,27.8759
643,4.47,25.16,48.3812
644,0.19,-187.24,44.1977
645,1.98,1.30,32.9656
646,40.40,70.31,68.5901
647,7.23,52.49,68.3871
648,-3.35,-168.64,41.2368
649,11.00,45.06,33.5421
650,8.35,11.18,6.4551
651,2.95,15.23,58.0666
652,25.16,19.75,42.9289
653,-7.44,-207.58,34.9780
654,37.12,41.04,58.1839
655,7.41,26.92,29.6235
656,7.37,30.87,32.3842
657,-1.43,-7.31,57.1708
658,3.18,-14.22,24.4498
659,35.07,62.74,87.2485
660,5.79,-25.60,19.1474
661,5.08,37.91,43.7602
662,0.57,-46.95,12.4678
663,1.45,-20.14,23.3921
664,35.48,11.13,21.5267
665,37.21,63.60,60.3872
666,-6.01,-238.32,28.4315
667,41.04,95.24,30.0012
668,6.95,6.09,15.1180
669,2.18,-21.46,10.5944
670,2.00,8.45,42.4043
671,30.79,52.09,61.8104
672,1.41,-10.47,24.7283
673,1.75,20.25,51.1339
674,2.77,21.27,48.7919
675,2.04,-28.42,9.1588
676,7.56,42.84,33.9143
677,0.96,-34.43,26.7885
678,-5.11,-264.95,35.3181
679,4.01,10.83,27.6954
680,30.21,44.09,37.1119
681,13.45,-49.70,40.6120
682,1.26,32.68,65.1674
683,4.19,8.88,22.6705
684,3.75,8.37,29.8594
685,14.39,-51.62,59.3928
686,0.72,-3.50,35.2223
687,1.25,19.95,44.4993
688,-0.73,23.21,74.9542
689,35.35,62.51,43.7855
690,24.47,-3.15,23.5830
691,4.30,66.13,71.8604
692,-1.58,-35.94,18.4632
693,-3.87,-87.95,2.5551
694,0.43,-37.10,19.1075
695,2.95,-23.55,17.6016
696,-1.38,-53.63,5.1935
697,29.34,31.17,43.0718
698,1.90,-13.13,29.2878
699,37.35,45.68,-6.0915
700,22.77,48.70,43.8773
701,33.16,58.48,21.3279
702,31.64,42.72,15.7016
703,35.11,108.65,60.4859
704,25.28,36.98,19.3464
705,7.27,47.01,22.9570
706,30.58,66.44,55.8900
707,37.84,104.16,50.6589
708,1.39,18.77,42.3083
709,28.96,27.10,7.9155
710,3.23,-31.16,19.9452
711,0.19,-7.77,34.9998
712,-3.14,-42.47,28.2828
713,32.11,98.86,73.7179
714,36.47,74.62,20.7566
715,34.83,97.55,37.6710
716,1.98,10.59,40.7187
