episode,rewards,loss,l2_grad,max_grad
362,-93.09,-2.47,0.2609,7.8080
363,-132.71,-1.61,0.1428,3.3372
364,-101.99,-4.65,0.3176,9.3593
365,-115.81,-0.86,0.1478,2.4130
366,-279.47,-2.37,0.2627,6.6422
367,-93.37,-4.25,0.3905,11.8979
368,-359.41,1.03,0.4378,12.9565
369,-269.50,-5.03,0.3821,11.8225
370,-228.22,-0.56,0.2593,7.6575
371,-101.79,-4.45,0.2768,8.4831
372,-60.07,-2.05,0.1870,5.1313
373,-82.59,-2.26,0.1114,2.0854
374,-155.71,-4.33,0.3261,9.0076
375,-85.00,-2.99,0.2476,8.4316
376,-102.88,-2.16,0.2208,7.5659
377,-112.83,-2.13,0.1641,4.3339
378,-310.36,-3.20,0.1703,4.9365
379,-90.87,-3.63,0.2421,7.3288
380,-262.35,-0.77,0.2479,5.9445
381,-107.90,-3.83,0.2541,8.3442
382,-273.76,-3.01,0.2784,7.5724
383,-118.01,-0.70,0.1428,2.8832
384,-200.84,-5.24,0.3782,9.8630
385,-74.74,-2.74,0.1071,1.2702
386,-103.36,-2.56,0.2380,6.6213
387,-167.55,-4.71,0.2705,7.4443
388,-269.56,-2.80,0.2831,5.0025
389,-111.04,-3.42,0.2686,8.8690
390,-60.57,-3.86,0.2895,9.1128
391,-77.81,-3.59,0.3547,10.8493
392,-93.32,-2.77,0.1237,1.4461
393,-240.31,0.47,0.2673,6.5911
394,-122.06,-4.00,0.3593,10.9481
395,-102.36,-1.34,0.1472,2.5496
396,-103.52,-1.32,0.1540,2.8266
397,-157.18,-2.09,0.2038,3.6674
398,-126.22,-3.11,0.1635,2.7874
399,-87.12,-1.82,0.1093,1.2153
400,-394.38,-0.46,0.5065,15.5360
401,-246.65,-5.56,0.3849,11.5174
402,-180.05,-5.70,0.3879,10.3263
403,-190.05,-3.41,0.3155,8.8584
404,-386.81,2.22,0.5336,16.7784
405,-98.99,-3.06,0.2014,5.8152
406,-205.46,-1.92,0.2206,5.6128
407,-177.62,-5.63,0.3249,10.3474
408,-164.22,-2.25,0.2580,6.6638
409,-217.18,-2.12,0.2834,7.7626
410,-234.92,-3.26,0.2379,6.2911
411,-222.35,-1.65,0.1897,4.4295
412,-261.24,-2.74,0.2633,6.2404
413,-147.53,-4.59,0.3344,9.5236
414,-339.89,-0.47,0.4679,13.7104
415,-89.36,-4.56,0.3355,10.8733
416,-83.62,-1.47,0.1317,3.4601
417,-141.23,-5.57,0.3788,11.7827
418,-300.45,-3.40,0.3579,12.1028
419,-391.41,-3.49,0.3549,7.6484
420,-45.97,-5.88,0.4037,12.7702
421,-69.95,-5.52,0.4246,14.0534
422,-321.03,-6.09,0.4426,11.7170
423,-32.58,-3.70,0.2153,7.5942
424,-390.75,-2.85,0.2514,5.4318
425,-282.69,-2.19,0.2159,3.3876
426,-123.43,-7.39,0.3800,8.6266
427,-202.19,-2.62,0.3028,9.0392
428,-111.38,-3.59,0.1087,1.5829
429,-121.55,-4.10,0.2857,6.6072
430,-399.62,-5.08,0.3359,9.2411
431,-97.33,-2.29,0.1146,1.2634
432,-183.19,-5.68,0.3586,10.5388
433,-452.41,-3.65,0.2838,4.8633
434,-48.04,-7.15,0.5047,15.9715
435,-132.78,-4.64,0.2572,8.2798
436,-101.61,-4.42,0.2724,9.3949
437,-112.19,-2.28,0.1791,2.9763
438,-457.76,-1.52,0.2714,6.3892
439,-190.96,-2.08,0.2429,5.3113
440,-62.52,-7.20,0.3478,10.1998
441,-271.18,-4.41,0.3249,7.6702
442,-223.63,-2.13,0.3897,9.9423
443,-299.31,-1.59,0.3066,8.0205
444,-65.14,-5.43,0.3427,9.6299
445,-101.36,-2.45,0.1318,3.6389
446,-126.83,-5.62,0.3769,12.5183
447,-372.22,-5.72,0.3342,9.7727
448,-377.51,-2.00,0.4199,10.4710
449,-227.33,-3.14,0.2290,3.6141
450,-148.27,-2.57,0.1815,4.0205
451,-159.51,-1.78,0.3476,10.0579
452,-90.27,-1.83,0.1237,3.0256
453,-80.35,-5.14,0.2831,8.6638
454,-264.74,-0.52,0.3855,9.8436
455,-90.49,-4.31,0.2542,6.8305
456,-107.93,-3.75,0.2009,6.3963
