episode,loss,rewards
1112,49.16,500.00
1113,28.47,367.00
1114,2.43,96.00
1115,47.78,500.00
1116,46.42,500.00
1117,47.97,500.00
1118,48.91,500.00
1119,49.15,500.00
1120,47.84,500.00
1121,47.02,500.00
1122,46.84,500.00
1123,47.80,500.00
1124,51.99,500.00
1125,49.49,500.00
1126,45.65,500.00
1127,48.66,500.00
1128,2.39,97.00
1129,2.00,85.00
1130,1.72,84.00
1131,49.55,500.00
1132,48.52,500.00
1133,49.59,500.00
1134,48.97,500.00
1135,50.01,500.00
1136,47.51,500.00
1137,47.33,500.00
1138,48.88,500.00
1139,49.96,500.00
1140,41.60,474.00
1141,40.77,454.00
1142,12.63,235.00
1143,41.01,446.00
1144,22.20,328.00
1145,26.66,358.00
1146,24.16,330.00
1147,20.21,312.00
1148,39.09,440.00
1149,15.43,274.00
1150,29.26,364.00
1151,17.15,285.00
1152,17.20,287.00
1153,19.85,308.00
1154,29.59,381.00
1155,27.88,375.00
1156,50.49,499.00
1157,42.76,460.00
1158,32.70,384.00
1159,39.66,444.00
1160,48.38,500.00
1161,48.26,500.00
1162,49.91,500.00
1163,49.32,500.00
1164,46.11,500.00
1165,48.10,500.00
1166,47.34,500.00
1167,2.44,99.00
1168,48.83,500.00
1169,47.53,500.00
1170,48.13,500.00
1171,49.75,500.00
1172,47.66,500.00
1173,47.68,500.00
1174,49.84,500.00
1175,49.32,500.00
1176,47.71,500.00
1177,47.70,500.00
1178,48.32,500.00
1179,49.17,500.00
1180,45.54,500.00
1181,49.96,500.00
1182,47.73,500.00
1183,50.11,500.00
1184,50.78,500.00
1185,46.73,500.00
1186,47.73,500.00
1187,49.05,500.00
1188,46.16,500.00
1189,45.50,500.00
1190,47.09,500.00
1191,49.02,500.00
1192,48.69,500.00
1193,49.38,500.00
1194,49.09,500.00
1195,49.57,500.00
1196,47.00,500.00
1197,48.96,500.00
1198,48.72,500.00
1199,47.92,500.00
1200,47.84,500.00
1201,2.47,102.00
1202,48.94,500.00
1203,47.63,500.00
1204,46.57,500.00
1205,49.82,500.00
1206,49.57,500.00
1207,46.86,500.00
1208,47.95,500.00
1209,46.93,500.00
1210,49.03,500.00
1211,48.31,500.00
1212,46.60,500.00
1213,47.88,500.00
1214,46.28,500.00
1215,47.19,500.00
1216,47.75,500.00
1217,47.73,500.00
1218,49.22,500.00
1219,48.36,500.00
1220,45.78,500.00
1221,48.31,500.00
1222,47.43,500.00
1223,48.14,500.00
1224,44.83,500.00
1225,46.56,500.00
1226,50.47,500.00
1227,47.90,500.00
1228,47.65,500.00
1229,49.45,500.00
1230,46.61,500.00
1231,46.62,500.00
1232,46.08,500.00
1233,46.10,500.00
1234,47.50,500.00
1235,46.75,500.00
1236,45.94,500.00
1237,47.74,500.00
1238,48.09,500.00
1239,46.67,500.00
1240,45.09,500.00
1241,49.20,500.00
1242,2.01,82.00
1243,47.93,500.00
1244,45.74,500.00
1245,44.73,500.00
1246,45.72,500.00
1247,46.14,500.00
1248,49.05,500.00
1249,45.39,500.00
1250,45.70,500.00
1251,46.83,500.00
1252,46.24,500.00
1253,46.15,500.00
1254,46.99,500.00
1255,48.99,500.00
1256,46.44,500.00
1257,48.18,500.00
1258,45.92,500.00
1259,46.51,500.00
1260,43.69,467.00
1261,21.00,316.00
1262,41.08,469.00
1263,33.74,419.00
1264,38.63,450.00
1265,25.28,354.00
1266,37.88,439.00
1267,23.25,328.00
1268,32.92,395.00
1269,26.12,360.00
1270,26.70,367.00
1271,15.33,273.00
1272,22.48,328.00
1273,28.49,376.00
1274,28.92,377.00
1275,40.08,453.00
1276,45.26,476.00
1277,34.32,425.00
1278,28.05,376.00
1279,48.62,500.00
1280,35.65,439.00
1281,47.21,500.00
