episode,loss,rewards
581,13.48,2.69
582,0.67,0.14
583,7.97,2.31
584,8.35,1.89
585,7.67,1.79
586,1.79,0.53
587,2.31,0.49
588,2.67,0.64
589,4.56,1.25
590,6.40,1.76
591,8.69,1.62
592,18.49,5.59
593,5.04,1.31
594,14.49,3.93
595,5.23,1.26
596,14.37,3.62
597,2.23,0.58
598,6.15,2.26
599,4.29,1.23
600,7.92,2.19
601,1.00,0.42
602,5.99,1.81
603,0.92,0.45
604,2.44,0.81
605,5.27,1.48
606,6.18,1.84
607,8.17,2.56
608,6.01,1.71
609,6.99,1.92
610,2.17,0.83
611,2.71,0.95
612,11.35,3.33
613,10.28,2.82
614,16.83,4.57
615,4.70,1.84
616,0.61,0.17
617,2.54,0.90
618,2.02,0.64
619,5.72,2.30
620,18.06,4.42
621,4.97,1.43
622,3.19,0.78
623,11.98,3.40
624,10.83,3.08
625,7.31,2.07
626,0.86,0.30
627,9.09,2.84
628,9.67,2.64
629,12.28,2.99
630,3.88,1.24
631,14.10,4.08
632,1.07,0.19
633,5.62,1.48
634,2.77,0.61
635,9.21,2.55
636,8.36,3.41
637,6.39,1.60
638,10.93,2.90
639,1.61,0.52
640,0.71,0.14
641,3.26,1.07
642,10.57,2.33
643,0.93,0.23
644,2.33,0.86
645,3.68,1.10
646,3.77,0.88
647,12.29,3.81
648,11.99,3.92
649,1.79,0.63
650,7.35,1.61
651,1.22,0.30
652,0.88,0.25
653,9.29,2.52
654,1.09,0.29
655,23.56,5.96
656,6.94,1.98
657,3.29,0.89
658,2.96,1.12
659,9.25,2.98
660,10.43,2.83
661,6.47,1.36
662,8.46,2.95
663,8.93,2.14
664,1.86,0.43
665,14.98,3.80
666,3.80,1.05
667,10.61,2.88
668,5.28,1.17
669,11.83,3.02
670,8.90,2.61
671,19.40,5.58
672,8.94,1.98
673,1.86,0.44
674,1.81,0.48
675,1.38,0.31
676,11.59,4.29
677,4.14,1.03
678,1.96,0.90
679,0.89,0.27
680,6.46,1.81
681,3.64,1.02
682,22.20,5.81
683,6.35,1.99
684,4.31,1.19
685,3.55,0.83
686,3.49,0.92
687,0.88,0.28
688,10.65,3.17
689,19.99,6.18
690,3.62,0.98
691,3.34,0.92
692,19.65,4.42
693,16.78,4.94
694,8.31,2.17
695,1.71,0.50
696,9.08,2.98
697,13.59,4.40
698,10.79,2.80
699,7.93,3.02
700,1.73,0.47
701,16.39,3.85
702,0.90,0.33
703,2.62,0.63
704,13.15,3.47
705,0.59,0.19
706,13.81,4.48
707,13.64,3.02
708,5.44,1.48
709,3.87,1.10
710,0.90,0.31
711,8.92,2.53
712,15.13,4.26
713,7.61,2.49
714,9.48,2.29
715,24.40,5.72
716,22.22,4.78
717,0.96,0.34
718,1.70,0.60
719,1.43,0.36
720,2.31,0.46
721,16.39,3.73
722,13.86,2.56
723,12.22,2.51
724,21.26,4.49
725,1.19,0.25
726,0.54,0.14
727,14.60,2.65
728,20.92,3.81
729,7.75,1.31
730,29.70,4.76
731,2.37,0.58
732,3.32,0.66
733,5.47,0.95
734,9.99,1.39
735,6.15,0.91
736,25.01,4.33
737,1.41,0.21
738,10.69,1.61
739,13.55,2.07
740,28.30,4.23
741,21.65,3.35
742,7.37,1.01
743,3.60,0.69
744,18.05,2.63
745,4.52,0.83
746,10.12,1.73
747,2.97,0.49
748,9.91,1.79
749,2.14,0.36
750,15.38,2.24
751,16.43,3.14
752,25.99,3.79
753,4.12,0.80
754,2.16,0.37
755,36.77,5.76
756,20.26,3.00
757,18.30,2.99
758,33.58,5.76
759,3.78,0.70
760,12.83,2.11
761,7.09,1.17
762,11.62,1.57
763,0.52,0.08
764,1.27,0.19
765,19.86,3.52
766,25.25,4.36
767,1.12,0.18
768,8.16,1.38
769,2.75,0.47
770,8.26,1.43
771,1.05,0.17
772,9.63,1.95
773,1.62,0.24
774,15.66,3.07
775,10.44,1.68
776,10.74,1.82
777,26.60,4.97
778,21.76,3.75
779,16.31,3.17
780,4.36,1.09
781,2.99,0.65
782,2.66,0.53
783,13.68,2.69
784,1.48,0.31
785,2.67,0.90
786,16.29,2.97
787,5.43,0.99
788,4.12,0.94
789,21.07,4.63
790,27.92,5.43
791,0.59,0.13
792,10.29,2.09
793,1.23,0.24
794,1.34,0.26
795,19.66,3.72
796,9.68,2.05
797,6.90,1.57
798,8.08,1.72
799,21.74,3.61
800,2.53,0.59
801,7.72,1.72
802,12.80,2.14
803,19.71,3.54
804,12.00,2.32
805,20.60,3.49
806,15.07,3.00
807,1.58,0.31
808,19.18,2.99
809,9.43,1.49
810,2.28,0.41
811,55.90,8.96
812,7.52,1.23
813,6.37,0.92
814,2.62,0.45
815,3.06,0.49
816,10.21,1.49
817,14.88,2.03
818,12.46,1.86
819,20.01,2.76
820,5.90,0.84
821,27.24,3.45
822,22.41,2.97
823,6.62,0.91
824,24.46,2.97
825,4.29,0.48
826,40.93,5.03
827,11.29,1.50
828,11.11,1.32
829,23.07,3.07
830,16.51,1.92
831,5.66,0.65
832,18.45,2.19
833,24.49,2.73
834,10.19,1.06
835,6.55,0.82
836,16.69,2.00
837,13.12,1.45
838,37.71,4.23
839,3.72,0.41
840,2.12,0.26
841,6.58,0.74
842,20.91,2.30
843,47.32,4.97
844,16.72,1.87
845,23.37,2.53
846,11.86,1.32
847,4.83,0.55
848,3.72,0.38
849,19.10,2.06
850,13.50,1.46
851,5.44,0.61
852,23.52,2.56
853,8.63,0.87
854,13.07,1.38
855,11.04,1.11
856,13.55,1.42
857,2.69,0.28
858,9.88,1.04
859,4.62,0.48
860,10.81,1.11
861,3.76,0.40
862,5.21,0.54
863,6.35,0.65
864,4.17,0.44
865,2.70,0.28
866,12.05,1.26
867,14.36,1.49
868,6.61,0.68
869,16.91,1.79
870,3.16,0.33
871,7.71,0.84
872,2.57,0.27
873,29.77,3.15
874,2.51,0.27
875,0.90,0.10
876,3.17,0.36
877,3.30,0.37
878,1.63,0.16
879,2.62,0.27
880,21.24,2.27
881,4.80,0.50
