episode,rewards
1166,-75.27
1167,-50.95
1168,-172.54
1169,134.39
1170,-122.53
1171,-16.89
1172,-115.59
1173,-146.86
1174,-126.42
1175,-78.99
1176,-231.55
1177,-102.67
1178,-218.94
1179,-107.11
1180,-203.90
1181,-128.32
1182,-76.55
1183,-76.17
1184,-90.94
1185,-83.53
1186,-27.61
1187,-48.84
1188,-26.60
1189,-137.11
1190,-1.22
1191,-119.01
1192,-100.35
1193,-93.31
1194,-151.16
1195,-71.35
1196,-108.83
1197,-75.38
1198,-147.67
1199,-99.59
1200,93.83
1201,-138.20
1202,-128.71
1203,-0.88
1204,-186.73
1205,-58.96
1206,-127.58
1207,-110.41
1208,-75.87
1209,-38.28
1210,-130.64
1211,-81.25
1212,-60.12
1213,-42.84
1214,-40.96
1215,-12.81
1216,-48.18
1217,12.59
1218,-27.74
1219,-1.52
1220,-14.16
1221,-48.58
1222,-24.02
1223,-22.31
1224,-32.87
1225,-59.29
1226,-60.81
1227,-50.48
1228,-28.16
1229,0.04
1230,-54.61
1231,-36.58
1232,-30.79
1233,-70.81
1234,-85.65
1235,-148.75
1236,-155.82
1237,-96.24
1238,-86.24
1239,-80.31
1240,-182.89
1241,-126.77
1242,-159.25
1243,-193.67
1244,-87.37
1245,-196.64
1246,-117.54
1247,-129.07
1248,-75.24
1249,-196.63
1250,-169.92
1251,-68.22
1252,-71.00
1253,-54.46
1254,-28.40
1255,-105.90
1256,-69.23
1257,-77.72
1258,-139.32
1259,-56.27
1260,9.52
1261,-216.80
1262,-5.73
1263,1.29
1264,-16.82
1265,-15.16
1266,-72.29
1267,-32.04
1268,-80.67
1269,-64.45
1270,-33.27
1271,-74.64
1272,-85.93
1273,-45.58
1274,-118.01
1275,-72.52
1276,-49.09
1277,-70.54
1278,4.40
1279,-70.07
1280,-230.14
1281,-174.25
1282,-22.66
1283,-67.15
1284,-162.89
1285,-21.75
1286,-60.87
1287,-132.74
1288,-26.31
1289,-116.08
1290,-74.53
1291,-170.52
1292,-27.61
1293,-83.86
1294,-88.39
1295,-204.82
1296,-220.67
1297,-166.86
1298,-181.59
1299,-134.11
1300,-166.86
1301,-23.92
1302,-234.81
1303,-19.50
1304,4.89
1305,-47.32
1306,-53.08
1307,-96.37
1308,-28.32
1309,-90.35
1310,2.73
1311,5.32
1312,-142.39
1313,-82.97
1314,-179.00
1315,-55.88
1316,-34.80
1317,-47.67
1318,-65.98
1319,-35.96
1320,-40.06
1321,-53.90
1322,-57.96
1323,-32.54
1324,-2.45
1325,-85.67
1326,-14.41
1327,-43.76
1328,-48.35
1329,23.87
1330,-175.35
1331,-60.24
1332,10.08
1333,11.67
1334,-26.13
1335,-115.59
1336,-137.33
1337,167.55
1338,-75.22
1339,-117.27
1340,-116.43
1341,-174.09
1342,-182.72
1343,-133.90
1344,-170.48
1345,-108.66
1346,-125.57
1347,-184.59
1348,-157.21
1349,-186.41
1350,-119.36
1351,-173.23
